date,Time,Datetime,Node 1,PM_2.5,PM_1,SO2,CO,Total_AQI,Satisfactory,
10/03/2024,18:00:00,10/03/2024 18:00,Node A,17.05,33.97,0.45,8.23,128,Moderate,
10/03/2024,19:00:00,10/03/2024 19:00,Node A,18.65,35.87,0.5,8.84,125,Moderate,
10/03/2024,20:00:00,10/03/2024 20:00,Node A,21.87,41.32,0.55,10,124,Moderate,
10/03/2024,21:00:00,10/03/2024 21:00,Node A,25.84,48.96,0.64,8.2,122,Moderate,
10/03/2024,22:00:00,10/03/2024 22:00,Node A,28.56,56.84,0.6,7.54,120,Moderate,
10/03/2024,23:00:00,10/03/2024 23:00,Node A,25.19,45.21,0.65,8.5,115,Moderate,
11/03/2024,0:00:00,11/03/2024 0:00,Node A,30.2,54.64,0.72,8.44,111,Moderate,
11/03/2024,1:00:00,11/03/2024 1:00,Node A,44.17,80.88,0.66,8.69,100,Satisfactory,
11/03/2024,2:00:00,11/03/2024 2:00,Node A,40.9,77.36,0.66,8.34,97,Satisfactory,
11/03/2024,3:00:00,11/03/2024 3:00,Node A,38.86,75.31,0.65,8.31,93,Satisfactory,
11/03/2024,4:00:00,11/03/2024 4:00,Node A,36.98,71.89,0.66,9.12,88,Satisfactory,
11/03/2024,5:00:00,11/03/2024 5:00,Node A,35.42,67.63,0.74,8.78,84,Satisfactory,
11/03/2024,6:00:00,11/03/2024 6:00,Node A,36.67,68.3,0.8,8.95,80,Satisfactory,
11/03/2024,7:00:00,11/03/2024 7:00,Node A,38.14,66.93,0.82,9.97,76,Satisfactory,
11/03/2024,8:00:00,11/03/2024 8:00,Node A,38,71.16,0.81,9.38,72,Satisfactory,
11/03/2024,9:00:00,11/03/2024 9:00,Node A,37.64,68.27,0.86,8.59,70,Satisfactory,
11/03/2024,10:00:00,11/03/2024 10:00,Node A,38.3,70.19,0.93,8.42,69,Satisfactory,
11/03/2024,11:00:00,11/03/2024 11:00,Node A,40.29,75.84,0.96,8.72,71,Satisfactory,
11/03/2024,12:00:00,11/03/2024 12:00,Node A,42.19,80.86,0.89,8.65,72,Satisfactory,
11/03/2024,13:00:00,11/03/2024 13:00,Node A,46.49,80.93,0.82,8.73,74,Satisfactory,
11/03/2024,14:00:00,11/03/2024 14:00,Node A,46.21,73.49,0.65,9.15,75,Satisfactory,
11/03/2024,15:00:00,11/03/2024 15:00,Node A,41.58,63.14,0.68,8.85,78,Satisfactory,
11/03/2024,16:00:00,11/03/2024 16:00,Node A,40.38,58.74,0.67,8.67,79,Satisfactory,
11/03/2024,17:00:00,11/03/2024 17:00,Node A,37.84,57.31,0.65,8.58,80,Satisfactory,
11/03/2024,18:00:00,11/03/2024 18:00,Node A,39.57,61.64,0.73,8.43,81,Satisfactory,
11/03/2024,19:00:00,11/03/2024 19:00,Node A,45.75,74.06,0.87,9.15,81,Satisfactory,
11/03/2024,20:00:00,11/03/2024 20:00,Node A,54.31,95.32,0.93,10.13,83,Satisfactory,
11/03/2024,21:00:00,11/03/2024 21:00,Node A,59.42,102.18,0.89,11,83,Satisfactory,
11/03/2024,22:00:00,11/03/2024 22:00,Node A,56.99,99.65,0.79,12.59,87,Satisfactory,
11/03/2024,23:00:00,11/03/2024 23:00,Node A,47.92,89.32,0.75,13.2,87,Satisfactory,
12/03/2024,0:00:00,12/03/2024 0:00,Node A,47.34,85.48,0.72,12.6,88,Satisfactory,
